PlayerID,Name,Position,Number,D.O.B,Age,Height (cm)
306548,Andre Schuerrle,Forward,9,1990-11-06,23,184
275136,Yuya Osako,Forward,18,1990-05-18,24,182
300411,Vedad Ibisevic,Forward,9,1984-08-06,29,189
233500,Keisuke Honda,Forward,4,1986-06-13,28,182
274034,Danny Welbeck,Forward,11,1990-11-26,23,184
306532,Daniel Sturridge,Forward,9,1989-09-01,24,179
319470,Mario Gavranovic,Forward,17,1989-11-24,24,175
318601,Pedro Rodriguez,Forward,11,1987-07-28,26,169
319311,Marco Fabian,Midfielder,8,1989-07-21,24,171
321722,Thomas Mueller,Forward,13,1989-09-13,24,186
214135,Pierre Webo,Forward,15,1982-01-20,32,180
352394,Marco Reus,Forward,21,1989-05-31,25,180
207851,Clint Dempsey,Forward,8,1983-03-09,31,185
353118,Wilfried Bony,Forward,12,1988-12-10,25,182
230517,Theofanis Gekas,Forward,17,1980-05-23,34,179
183864,Fernando Torres,Forward,9,1984-03-20,30,186
216970,Salomon Kalou,Forward,8,1985-08-05,28,175
228627,Alexis Sanchez,Forward,7,1988-12-19,25,169
291393,Koo Jacheol,Forward,13,1989-02-27,25,182
298681,Jeremain Lens,Forward,17,1987-11-24,26,178
229506,Cristhian Stuani,Forward,11,1986-10-12,27,186
373400,Enner Valencia,Forward,13,1989-11-04,24,179
186455,Shola Ameobi,Forward,23,1981-10-12,32,188
218306,Willian,Midfielder,19,1988-08-09,25,176
358891,Oleg Shatov,Midfielder,17,1990-07-29,23,176
306900,Okechukwu Uchebo,Forward,20,1990-02-03,24,194
336435,Antoine Griezmann,Forward,11,1991-03-21,23,175
189259,Diego Forlan,Forward,10,1979-05-19,35,181
267834,Edinson Cavani,Forward,21,1987-02-14,27,188
268596,Shinji Kagawa,Forward,10,1989-03-17,25,172
214410,Hugo Almeida,Forward,9,1984-05-23,30,193
305036,Mesut Oezil,Midfielder,8,1988-10-15,25,180
186808,Aleksandr Kerzhakov,Forward,11,1982-11-27,31,175
217172,Jo,Forward,21,1987-03-20,27,191
358112,Romelu Lukaku,Forward,9,1993-05-13,21,190
216071,Zvjezdan Misimovic,Midfielder,10,1982-06-05,32,180
196812,Ashkan Dejagah,Forward,21,1986-07-05,27,182
228715,Felipe Caicedo,Forward,11,1988-09-05,25,183
270144,Marcos Urena,Forward,21,1990-03-05,24,179
349572,Jaimen Ayovi,Forward,17,1988-02-21,26,186
312868,Oscar,Midfielder,11,1991-09-09,22,181
349512,Carlos Bacca,Forward,17,1986-09-08,27,181
366573,Saphir Taider,Midfielder,19,1992-02-29,22,179
184616,Arjen Robben,Forward,11,1984-01-23,30,180
313832,Jackson Martinez,Forward,21,1986-10-03,27,186
330689,Ji Dongwon,Midfielder,19,1991-05-28,23,186
238072,Jozy Altidore,Forward,17,1989-11-06,24,185
313874,Esteban Paredes,Forward,22,1980-08-01,33,179
297383,Roman Shirokov,Midfielder,15,1981-07-06,32,183
297103,Karim Benzema,Forward,10,1987-12-19,26,185
297839,Konan Ya,Midfielder,13,1984-05-22,30,174
268149,Lee Keunho,Forward,11,1985-04-11,29,177
274090,Victor Moses,Forward,11,1990-12-12,23,177
184291,Maxi Rodriguez,Midfielder,11,1981-01-02,33,180
185385,Frank Lampard,Midfielder,8,1978-06-20,36,181
307529,Joel Campbell,Forward,9,1992-06-26,21,178
177927,Antonio Cassano,Forward,10,1982-07-12,31,175
319358,Sofiane Feghouli,Forward,10,1989-12-26,24,177
267811,Juan Mata,Forward,13,1988-04-28,26,171
321653,Xherdan Shaqiri,Midfielder,23,1991-10-10,22,169
185641,Javad Nekounam,Midfielder,6,1980-09-07,33,188
215002,Wesley Sneijder,Midfielder,10,1984-06-09,30,171
375518,Mario Mandzukic,Forward,17,1986-05-21,28,188
318172,Hulk,Forward,7,1986-07-25,27,179
183000,Sulley Muntari,Midfielder,11,1984-08-27,29,179
318768,Konstantinos Mitroglou,Forward,9,1988-03-12,26,188
200176,David Silva,Midfielder,21,1986-01-08,28,170
290186,Gervinho,Forward,10,1987-05-27,27,179
302539,Alan Dzagoev,Midfielder,10,1990-06-17,24,178
309316,Mario Goetze,Forward,19,1992-06-03,22,176
307849,Son Heungmin,Midfielder,9,1992-07-08,21,183
367393,Majeed Waris,Forward,18,1991-09-19,22,172
375459,Fidel Martinez,Midfielder,20,1990-02-15,24,176
367347,Aron Johannsson,Forward,9,1990-11-10,23,182
356403,Izet Hajrovic,Midfielder,20,1991-08-04,22,177
275112,Manabu Saito,Forward,20,1990-04-04,24,169
319438,Georginio Wijnaldum,Midfielder,20,1990-11-11,23,175
359235,Lorenzo Insigne,Forward,22,1991-06-04,23,163
379972,Acquah Afriyie,Midfielder,6,1992-05-01,22,162
369058,Ante Rebic,Forward,16,1993-09-21,20,185
217313,Dirk Kuyt,Forward,15,1980-07-22,33,184
358015,Olivier Giroud,Forward,9,1986-09-30,27,192
358048,Alexander Kokorin,Forward,9,1991-03-19,23,182
196752,Bastian Schweinsteiger,Midfielder,7,1984-08-01,29,183
358120,Kevin De Bruyne,Midfielder,7,1991-06-28,22,181
330659,Karim Ansari Fard,Forward,10,1990-04-03,24,185
300235,Victor Fayzulin,Midfielder,20,1986-04-22,28,176
213953,Jerry Palacios,Midfielder,9,1982-05-13,32,181
356198,Alex Oxlade Chamberlain,Midfielder,15,1993-08-15,20,180
236530,Celso Borges,Midfielder,5,1988-05-27,26,184
214876,Bryan Ruiz,Forward,10,1985-08-18,28,187
299878,Loic Remy,Forward,20,1987-01-02,27,185
234551,Giovani Dos Santos,Forward,10,1989-05-11,25,179
237058,Randall Brenes,Forward,14,1983-08-13,30,170
290452,Jefferson Montero,Midfielder,7,1989-09-01,24,170
290903,Kevin Mirallas,Forward,11,1987-10-05,26,179
266800,Angel Di Maria,Midfielder,7,1988-02-14,26,178
362727,Paulinho,Midfielder,8,1988-07-25,25,181
306954,Jordi Alba,Defender,18,1989-03-21,25,170
367388,Paul Pogba,Midfielder,19,1993-03-15,21,192
359217,Marco Verratti,Midfielder,23,1992-11-05,21,168
379886,Alireza Jahan Bakhsh,Forward,9,1993-08-11,20,181
187258,Ivica Olic,Forward,18,1979-09-14,34,183
248373,Franck Ribery,Forward,7,1983-04-07,31,175
198106,Yaya Toure,Midfielder,19,1983-05-13,31,189
254167,Nani,Forward,17,1986-11-17,27,175
214961,Steven Gerrard,Midfielder,4,1980-05-30,34,185
269058,James Rodriguez,Midfielder,10,1991-07-12,22,180
210704,Darijo Srna,Defender,11,1982-05-01,32,182
216435,Alexander Samedov,Forward,19,1984-07-19,29,178
254166,Varela,Forward,18,1985-02-02,29,180
355997,Christian Atsu,Midfielder,7,1992-01-10,22,165
178299,Mark Bresciano,Midfielder,23,1980-02-11,34,182
297705,Santi Cazorla,Midfielder,20,1984-12-13,29,169
356731,Raul Jimenez,Forward,9,1991-05-05,23,186
215513,Dimitrios Salpingidis,Forward,14,1981-08-18,32,171
214228,Peter Odemwingie,Forward,8,1981-07-15,32,181
299198,Miralem Pjanic,Midfielder,8,1990-04-02,24,180
358024,Ioannis Fetfatzidis,Forward,18,1990-12-21,23,164
367913,Dante,Defender,13,1983-10-18,30,189
196897,Kevin Prince Boateng,Forward,9,1987-03-06,27,182
371044,Miguel Layun,Defender,7,1988-06-25,25,178
353235,Jordan Ayew,Forward,13,1991-09-11,22,160
208016,Fernandinho,Midfielder,5,1985-05-04,29,179
316997,Enzo Perez,Midfielder,8,1986-02-22,28,177
356407,Michael Lang,Defender,6,1991-02-08,23,185
178842,Edison Mendez,Midfielder,8,1979-03-16,35,175
290902,Marouane Fellaini,Midfielder,8,1987-11-22,26,194
201787,Mauricio Pinilla,Forward,9,1984-02-04,30,185
209119,Daniele De Rossi,Midfielder,16,1983-07-24,30,182
175524,Michael Essien,Midfielder,5,1982-12-03,31,180
312672,Mix Diskerud,Midfielder,10,1990-10-02,23,182
316117,Nikica Jelavic,Forward,9,1985-08-27,28,187
311558,Granit Xhaka,Midfielder,10,1992-09-27,21,183
217117,Carlos Valdes,Defender,23,1985-05-22,29,189
297106,Mathieu Valbuena,Midfielder,8,1984-09-28,29,167
267543,Arturo Vidal,Midfielder,8,1987-05-22,27,178
358108,Nacer Chadli,Midfielder,22,1989-08-02,24,187
274946,Emmanuel Agyemang Badu,Midfielder,8,1990-12-02,23,173
175498,Damarcus Beasley,Defender,7,1982-05-24,32,170
200179,Cesc Fabregas,Midfielder,10,1987-05-04,27,175
296633,Ivan Rakitic,Midfielder,7,1988-03-10,26,184
212410,Kwak Taehwi,Defender,4,1981-07-08,32,185
215623,Alberto Aquilani,Midfielder,14,1984-07-07,29,184
233531,Michael Bradley,Midfielder,4,1987-07-31,26,185
233167,Haris Medunjanin,Midfielder,18,1985-03-08,29,188
207906,Juanfran,Defender,5,1985-01-09,29,180
298892,Augusto Fernandez,Midfielder,13,1986-04-10,28,177
354875,Abdelmoumene Djabou,Forward,18,1987-01-31,27,168
372989,Ermin Bicakcic,Defender,3,1990-01-24,24,185
321697,Mathew Leckie,Forward,7,1991-02-04,23,181
367396,Fabrice Olinga,Forward,19,1996-05-12,18,177
251352,Andres Guardado,Defender,18,1986-09-28,27,167
229392,Ezequiel Lavezzi,Forward,22,1985-05-03,29,173
207528,Xabi Alonso,Midfielder,14,1981-11-25,32,183
210214,Raul Meireles,Midfielder,16,1983-03-17,31,179
360728,Graham Zusi,Midfielder,19,1986-08-18,27,177
209979,Tranquillo Barnetta,Midfielder,7,1985-05-22,29,178
344714,Ahmed Musa,Forward,7,1992-10-14,21,176
273996,Eden Hazard,Midfielder,10,1991-01-07,23,172
218284,Marcelo,Defender,6,1988-05-12,26,174
358736,Bruno Martins Indi,Defender,4,1992-02-08,22,186
305764,Gary Cahill,Defender,5,1985-12-19,28,191
210213,Bruno Alves,Defender,2,1981-11-27,32,187
375523,Daniel Van Buyten,Defender,15,1978-02-07,36,196
178119,Rafael Marquez,Defender,4,1979-02-13,35,184
183857,Andres Iniesta,Midfielder,6,1984-05-11,30,170
297331,Valentin Stocker,Midfielder,14,1989-04-12,25,179
349592,Eugenio Mena,Defender,2,1988-07-18,25,174
296118,Benjamin Moukandjo,Forward,8,1988-11-12,25,178
349517,Victor Ibarbo,Forward,14,1990-05-19,24,188
177876,Andrea Pirlo,Midfielder,21,1979-05-19,35,177
353119,Max Gradel,Midfielder,15,1987-11-30,26,177
275162,Toni Kroos,Midfielder,18,1990-01-04,24,182
358049,Denis Glushakov,Midfielder,8,1987-01-27,27,182
305378,Nicolas Lodeiro,Midfielder,14,1989-03-21,25,173
202544,Antonio Valencia,Midfielder,16,1985-08-04,28,180
184545,Segundo Castillo,Midfielder,14,1982-05-15,32,180
216567,Cristian Rodriguez,Midfielder,7,1985-09-30,28,178
268414,Lee Chungyong,Midfielder,17,1988-07-02,25,180
289195,Paul Aguilar,Defender,22,1986-03-06,28,178
321745,Kim Shinwook,Forward,18,1988-04-14,26,196
309714,Juan Cuadrado,Midfielder,11,1988-05-26,26,178
291389,Kim Bokyung,Midfielder,7,1989-10-06,24,178
274135,Mamadou Sakho,Defender,5,1990-02-13,24,186
295153,Ahmad Alnameh,Defender,17,1982-10-20,31,189
268594,Masato Morishige,Defender,6,1987-05-21,27,183
369990,Rony Martinez,Forward,16,1987-10-16,26,171
336837,Diego Calvo,Midfielder,20,1991-03-25,23,178
297112,Georgios Samaras,Forward,7,1985-02-21,29,192
241559,Luka Modric,Midfielder,10,1985-09-09,28,173
228336,Vasileios Torosidis,Defender,15,1985-06-10,29,185
229502,Alvaro Pereira,Midfielder,6,1985-11-28,28,182
359381,Ivan Perisic,Midfielder,4,1989-02-02,25,187
349574,Michael Arroyo,Midfielder,15,1987-04-23,27,178
198243,Abel Aguilar,Midfielder,8,1985-01-06,29,187
290821,Axel Witsel,Midfielder,6,1989-01-12,25,183
237949,Andranik Timotian,Midfielder,14,1983-03-06,31,178
298582,John Boye,Defender,21,1987-04-23,27,160
213170,Masoud Shojaei,Forward,7,1984-06-09,30,185
358011,Mathieu Debuchy,Defender,2,1985-07-28,28,178
318150,Charles Aranguiz,Midfielder,20,1989-04-17,25,171
290605,James Troisi,Midfielder,14,1988-07-03,25,177
356669,Bernard,Forward,20,1992-09-08,21,166
181406,Maicon,Defender,23,1981-07-26,32,186
227839,Marvin Chavez,Midfielder,10,1983-11-03,30,156
304934,Roger Espinoza,Midfielder,15,1986-10-25,27,180
239433,Diego Lugano,Defender,2,1980-11-02,33,188
300407,Sejad Salihovic,Midfielder,23,1984-10-08,29,182
298959,Ramires,Midfielder,16,1987-03-24,27,181
230739,Rodrigo Palacio,Forward,18,1982-02-05,32,175
209989,Philippe Senderos,Defender,4,1985-02-14,29,190
197514,Mile Jedinak,Midfielder,15,1984-08-03,29,188
177855,Xavi Hernandez,Midfielder,8,1980-01-25,34,170
300402,Senijad Ibricic,Midfielder,17,1985-09-26,28,185
290800,Dario Vidosic,Midfielder,20,1987-04-08,27,185
365464,Juan Montes,Defender,4,1985-12-26,28,196
311554,Haris Seferovic,Forward,9,1992-02-22,22,187
358692,Julian Draxler,Midfielder,14,1993-09-20,20,185
184447,Walter Ayovi,Midfielder,10,1979-08-11,34,173
180936,Yoshito Okubo,Forward,13,1982-06-09,32,170
290825,Moussa Dembele,Midfielder,19,1987-07-16,26,185
196900,Sami Khedira,Midfielder,6,1987-04-04,27,189
268406,Ki Sungyueng,Midfielder,16,1989-01-24,25,186
294620,Andre Ayew,Midfielder,10,1989-12-17,24,175
177768,Yasuhito Endo,Midfielder,7,1980-01-28,34,178
218253,Carlos Salcido,Defender,3,1980-04-02,34,176
209502,Jean Beausejour,Midfielder,15,1984-06-01,30,178
267527,Gary Medel,Defender,17,1987-08-03,26,171
296297,Mario Martinez,Midfielder,23,1989-07-30,24,173
183882,Hassan Yebda,Midfielder,7,1984-05-14,30,188
239424,Hernanes,Midfielder,18,1985-05-29,29,180
358114,Dries Mertens,Midfielder,14,1987-05-06,27,164
318034,Federico Fernandez,Defender,17,1989-02-21,25,190
312432,Dejan Lovren,Defender,6,1989-07-05,24,188
323698,Vincent Aboubakar,Forward,10,1992-01-22,22,176
261029,Gokhan Inler,Midfielder,8,1984-06-27,29,181
214887,Konstantinos Katsouranis,Midfielder,21,1979-06-21,35,183
190962,Dani Alves,Defender,2,1983-05-06,31,175
271182,Michael Barrantes,Midfielder,11,1983-10-04,30,177
299960,Phil Jagielka,Defender,6,1982-08-17,31,183
200847,Adrian Ramos,Forward,19,1986-01-22,28,184
281252,Fabian Orellana,Forward,14,1986-01-27,28,168
196605,Stephan Lichtsteiner,Defender,2,1984-01-16,30,180
216814,Sergio Ramos,Defender,15,1986-03-30,28,183
216874,Nicolas Lombaerts,Defender,18,1985-03-20,29,188
356162,Esseid Belkalem,Defender,4,1989-01-01,25,190
168832,Georgios Karagounis,Midfielder,10,1977-03-06,37,176
199600,Jean Makoun,Midfielder,11,1983-05-29,31,170
178403,Joseph Yobo,Defender,2,1980-09-06,33,185
297377,Ognjen Vukojevic,Midfielder,8,1983-12-20,30,184
278072,Jalal Hosseini,Defender,4,1982-02-03,32,185
202655,Jorge Valdivia,Midfielder,10,1983-10-19,30,173
290904,Jan Vertonghen,Defender,5,1987-04-24,27,189
197411,Mark Milligan,Midfielder,5,1985-08-04,28,178
213124,Amirhossein Sadeghi,Defender,5,1981-09-06,32,185
364707,Albert Adomah,Midfielder,14,1987-12-13,26,162
303394,Carlos Pena,Midfielder,21,1990-03-29,24,176
306424,Tommy Oar,Midfielder,11,1991-12-10,22,170
269784,Fabio Coentrao,Defender,5,1988-03-11,26,181
234463,John Obi Mikel,Midfielder,10,1987-04-22,27,188
358013,Yohan Cabaye,Midfielder,6,1986-01-14,28,175
311150,Mats Hummels,Defender,5,1988-12-16,25,192
305972,Joao Rojas,Forward,9,1989-06-14,25,173
216004,Vincent Kompany,Defender,4,1986-04-10,28,190
216973,Gerard Pique,Defender,3,1987-02-02,27,192
215208,Madjid Bouguerra,Defender,2,1982-10-07,31,189
294619,Kwadwo Asamoah,Midfielder,20,1988-12-09,25,168
200219,Fredy Guarin,Midfielder,13,1986-06-30,27,187
3408,Mario Yepes,Defender,3,1976-01-13,38,186
200935,Stephane Mbia,Midfielder,17,1986-05-20,28,190
230114,Jorge Claros,Midfielder,20,1986-01-08,28,176
215274,Giorgio Chiellini,Defender,3,1984-08-14,29,192
268821,Giancarlo Gonzalez,Defender,3,1988-02-08,26,192
295157,Hashem Beikzadeh,Midfielder,19,1984-01-22,30,180
349588,Felipe Gutierrez,Midfielder,16,1990-10-08,23,175
330693,Andy Najar,Midfielder,17,1993-03-16,21,170
310048,Enoh Eyong,Midfielder,18,1986-03-23,28,180
268822,Jose Cubero,Midfielder,22,1987-02-14,27,178
178963,Kolo Toure,Defender,4,1981-03-19,33,183
297373,Vedran Corluka,Defender,5,1986-02-05,28,192
321641,Leonardo Bonucci,Defender,19,1987-05-01,27,190
210212,Ricardo Costa,Defender,13,1981-05-16,33,183
245156,Jose Rojas,Defender,13,1983-06-23,30,174
299086,Lazaros Christodoulopoulos,Midfielder,16,1986-12-19,27,182
367918,Luiz Gustavo,Midfielder,17,1987-07-23,26,188
233703,Martin Demichelis,Defender,15,1980-12-20,33,184
209827,Wilson Palacios,Midfielder,8,1984-07-29,29,181
275931,Pepe,Defender,3,1983-02-26,31,186
228936,Ignazio Abate,Defender,7,1986-11-12,27,180
186787,Sergey Ignashevich,Defender,4,1979-07-14,34,186
200262,Landry Nguemo,Midfielder,7,1985-11-28,28,172
271253,Maya Yoshida,Defender,22,1988-08-24,25,189
251481,Pejman Montazeri,Defender,15,1983-09-06,30,186
233530,Marcelo Diaz,Midfielder,21,1986-12-30,27,168
311148,Benedikt Hoewedes,Defender,4,1988-02-29,26,187
375754,Kim Younggwon,Defender,5,1990-02-27,24,187
315429,Ogenyi Onazi,Midfielder,17,1992-12-25,21,168
279417,Cristhian Noboa,Midfielder,6,1985-04-09,29,181
267647,Uwa Echiejile,Defender,3,1988-01-20,26,185
196748,Philipp Lahm,Midfielder,16,1983-11-11,30,170
207946,Souleymane Bamba,Defender,22,1985-01-13,29,190
286259,Alvaro Gonzalez,Midfielder,20,1984-10-29,29,175
358022,Jose Cholevas,Defender,20,1984-06-27,29,184
313805,Heiner Mora,Defender,8,1984-06-20,29,179
233497,Masahiko Inoha,Defender,19,1985-08-28,28,179
311174,Fabian Johnson,Defender,23,1987-12-11,26,182
356409,Admir Mehmedi,Forward,18,1991-03-16,23,183
183893,Jermaine Jones,Midfielder,13,1981-11-03,32,184
298664,Claudio Marchisio,Midfielder,8,1986-01-19,28,179
290824,Steven Defour,Midfielder,16,1988-04-15,26,173
229439,Gonzalo Jara,Defender,18,1985-08-29,28,177
175689,Thiago Motta,Midfielder,5,1982-08-28,31,187
300237,Dmitry Kombarov,Defender,23,1987-01-22,27,182
358014,Blaise Matuidi,Midfielder,14,1987-04-09,27,175
299896,Domagoj Vida,Defender,21,1989-04-29,25,184
289964,Thiago Silva,Defender,3,1984-09-22,29,182
291372,Yuto Nagatomo,Defender,5,1986-09-12,27,170
228617,Mauricio Isla,Defender,4,1988-06-12,26,177
216715,Ron Vlaar,Defender,2,1985-02-16,29,190
305768,Leighton Baines,Defender,3,1984-12-11,29,172
229440,Jose Fuenzalida,Midfielder,19,1985-02-22,29,170
339551,Brayan Beckeles,Defender,21,1985-11-28,28,186
200201,Miguel Veloso,Midfielder,4,1986-05-11,28,181
216650,Gelson Fernandes,Midfielder,16,1986-09-02,27,179
216627,Valon Behrami,Midfielder,11,1985-04-19,29,184
312679,Hong Jeongho,Defender,20,1989-08-12,24,188
207888,Per Mertesacker,Defender,17,1984-09-29,29,198
216069,Emir Spahic,Defender,4,1980-08-18,33,183
239237,Carl Medjani,Defender,12,1985-05-15,29,180
216006,Anthony Vanden Borre,Defender,21,1987-10-24,26,185
307026,Cristian Gamboa,Defender,16,1989-10-24,24,175
347716,Hiroshi Kiyotake,Forward,8,1989-11-12,24,172
306634,Jonathan Mensah,Defender,19,1990-07-13,23,182
213878,Victor Bernardez,Defender,5,1982-05-24,32,187
229499,Diego Godin,Defender,3,1986-02-16,28,185
186793,Vasily Berezutskiy,Defender,14,1982-06-20,32,188
339447,Johnny Acosta,Defender,2,1983-07-21,30,175
321971,Geoff Cameron,Defender,20,1985-07-11,28,190
296273,Alejandro Bedoya,Midfielder,11,1987-04-29,27,178
183796,Christian Bolanos,Midfielder,7,1984-05-17,30,178
296827,Rafik Halliche,Defender,5,1986-09-02,27,187
181930,Jorge Guagua,Defender,2,1981-09-28,32,179
288961,Ehsan Haji Safi,Midfielder,3,1990-02-25,24,177
181698,Aldo Ramirez,Midfielder,5,1981-04-18,33,175
278732,Aurelien Chedjou,Defender,14,1985-06-20,28,185
286481,Maximiliano Pereira,Defender,16,1984-06-08,30,173
356711,Azubuike Egwuekwe,Defender,6,1989-07-16,24,195
200199,Joao Moutinho,Midfielder,8,1986-09-08,27,170
358099,Senad Lulic,Midfielder,16,1986-01-18,28,183
213879,Maynor Figueroa,Defender,3,1983-05-02,31,184
268474,Atsuto Uchida,Defender,2,1988-03-27,26,176
216646,Blerim Dzemaili,Midfielder,15,1986-04-12,28,179
290864,Toby Alderweireld,Defender,2,1989-03-02,25,186
356459,Godfrey Oboabona,Defender,14,1990-09-16,23,183
216642,Reto Ziegler,Defender,3,1986-01-16,28,183
296303,Juan Carlos Garcia,Defender,6,1988-03-08,26,175
175512,Kyle Beckerman,Midfielder,15,1982-04-23,32,181
349578,Frickson Erazo,Defender,3,1988-05-05,26,189
273291,Efe Ambrose,Defender,5,1988-10-18,25,190
289027,Makoto Hasebe,Midfielder,17,1984-01-18,30,180
291329,Ismael Tiote,Midfielder,9,1986-06-21,27,175
216645,Johan Djourou,Defender,20,1987-01-18,27,192
229436,Carlos Carmona,Midfielder,6,1987-02-21,27,179
185359,Diego Perez,Midfielder,15,1980-05-18,34,176
237071,Boniek Garcia,Midfielder,14,1984-09-04,29,176
197409,Matt Mckay,Midfielder,17,1983-01-11,31,174
207924,James Milner,Midfielder,17,1986-01-04,28,175
238381,Samuel Inkoom,Defender,2,1989-06-01,25,179
183798,Roy Miller,Defender,19,1984-11-24,29,189
182372,Javier Mascherano,Midfielder,14,1984-06-08,30,171
216880,Thomas Vermaelen,Defender,3,1985-11-14,28,178
228351,Alexandros Tziolis,Midfielder,6,1985-02-13,29,190
229443,Juan Zuniga,Defender,18,1985-12-14,28,171
197464,Glen Johnson,Defender,2,1984-08-23,29,180
200213,Pablo Armero,Defender,7,1986-11-02,27,174
238112,Hector Moreno,Defender,15,1988-01-17,26,182
267829,Martin Caceres,Defender,22,1987-04-07,27,178
209940,Junior Diaz,Defender,15,1983-09-12,30,185
276131,Walter Gargano,Midfielder,5,1984-07-23,29,168
230117,Emilio Izaguirre,Midfielder,7,1986-05-10,28,177
216964,Nigel De Jong,Midfielder,6,1984-11-30,29,174
198489,Arthur Boka,Defender,3,1983-04-02,31,166
184373,Yasuyuki Konno,Defender,15,1983-01-25,31,178
208120,Michael Umana,Defender,4,1982-07-16,31,180
209960,Francisco Rodriguez,Defender,2,1981-10-20,32,191
176971,Didier Zokora,Defender,5,1980-12-14,33,183
94918,Faryd Mondragon,Goalkeeper,22,1971-06-21,43,191
178185,Noel Valladares,Goalkeeper,18,1977-05-03,37,178
159304,Gianluigi Buffon,Goalkeeper,1,1978-01-28,36,190
179048,Stipe Pletikosa,Goalkeeper,1,1979-01-08,35,193
178420,Tim Howard,Goalkeeper,1,1979-03-06,35,187
182021,Mickael Landreau,Goalkeeper,23,1979-05-14,35,184
184982,Nick Rimando,Goalkeeper,22,1979-06-17,35,182
178958,Boubacar Barry,Goalkeeper,1,1979-12-30,34,180
179038,Julio Cesar,Goalkeeper,12,1979-09-03,34,179
367333,Sergey Ryzhikov,Goalkeeper,16,1980-09-19,33,192
358097,Asmir Avdukic,Goalkeeper,22,1981-05-13,33,190
195223,Roman Weidenfeller,Goalkeeper,22,1980-08-06,33,188
209168,Eugene Galekovic,Goalkeeper,18,1981-06-12,33,186
214377,Andrea Barzagli,Defender,15,1981-05-08,33,186
176644,Iker Casillas,Goalkeeper,1,1981-05-20,33,185
215484,Loukas Vyntra,Defender,11,1981-02-05,33,184
178630,Johnny Herrera,Goalkeeper,23,1981-05-09,33,183
298516,Rahman Ahmadi,Goalkeeper,1,1980-07-30,33,182
356612,Hugo Campagnaro,Defender,3,1980-06-27,33,181
213871,Donis Escober,Goalkeeper,22,1981-02-03,33,180
195231,Jose Corona,Goalkeeper,1,1981-01-26,33,178
212246,Patrice Evra,Defender,3,1981-05-15,33,171
215471,Vangelis Moras,Defender,5,1981-08-26,32,193
274703,Agustin Orion,Goalkeeper,12,1981-07-26,32,190
214404,Beto,Goalkeeper,22,1982-05-01,32,183
181951,Brad Davis,Midfielder,14,1981-11-08,32,180
214874,Patrick Pemberton,Goalkeeper,18,1982-04-24,32,178
207809,Maxwell,Defender,14,1981-08-27,32,177
210702,Danijel Pranjic,Defender,3,1981-12-02,32,172
